Notes,Race,Race Code,Cause of death,Cause of death Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Gender,Gender Code,Deaths,Population,Crude Rate
,Black or African American,2054-5,"Non-insulin-dependent diabetes mellitus, without complications",E11.9,65-74 years,65-74,Female,F,17,Not Applicable,Not Applicable
,Black or African American,2054-5,"Non-insulin-dependent diabetes mellitus, without complications",E11.9,65-74 years,65-74,Male,M,18,Not Applicable,Not Applicable
,Black or African American,2054-5,"Non-insulin-dependent diabetes mellitus, without complications",E11.9,75-84 years,75-84,Female,F,14,Not Applicable,Not Applicable
,Black or African American,2054-5,"Unspecified diabetes mellitus, with peripheral circulatory complications",E14.5,55-64 years,55-64,Female,F,19,Not Applicable,Not Applicable
,Black or African American,2054-5,"Unspecified diabetes mellitus, with peripheral circulatory complications",E14.5,55-64 years,55-64,Male,M,15,Not Applicable,Not Applicable
,Black or African American,2054-5,"Unspecified diabetes mellitus, with peripheral circulatory complications",E14.5,65-74 years,65-74,Female,F,33,Not Applicable,Not Applicable
,Black or African American,2054-5,"Unspecified diabetes mellitus, with peripheral circulatory complications",E14.5,75-84 years,75-84,Female,F,26,Not Applicable,Not Applicable
,Black or African American,2054-5,"Unspecified diabetes mellitus, with peripheral circulatory complications",E14.5,75-84 years,75-84,Male,M,19,Not Applicable,Not Applicable
,Black or African American,2054-5,"Unspecified diabetes mellitus, with peripheral circulatory complications",E14.5,85+ years,85+,Female,F,14,Not Applicable,Not Applicable
,Black or African American,2054-5,"Unspecified diabetes mellitus, without complications",E14.9,35-44 years,35-44,Female,F,13,Not Applicable,Not Applicable
,Black or African American,2054-5,"Unspecified diabetes mellitus, without complications",E14.9,35-44 years,35-44,Male,M,13,Not Applicable,Not Applicable
,Black or African American,2054-5,"Unspecified diabetes mellitus, without complications",E14.9,45-54 years,45-54,Female,F,32,Not Applicable,Not Applicable
,Black or African American,2054-5,"Unspecified diabetes mellitus, without complications",E14.9,45-54 years,45-54,Male,M,43,Not Applicable,Not Applicable
,Black or African American,2054-5,"Unspecified diabetes mellitus, without complications",E14.9,55-64 years,55-64,Female,F,100,Not Applicable,Not Applicable
,Black or African American,2054-5,"Unspecified diabetes mellitus, without complications",E14.9,55-64 years,55-64,Male,M,68,Not Applicable,Not Applicable
,Black or African American,2054-5,"Unspecified diabetes mellitus, without complications",E14.9,65-74 years,65-74,Female,F,134,Not Applicable,Not Applicable
,Black or African American,2054-5,"Unspecified diabetes mellitus, without complications",E14.9,65-74 years,65-74,Male,M,92,Not Applicable,Not Applicable
,Black or African American,2054-5,"Unspecified diabetes mellitus, without complications",E14.9,75-84 years,75-84,Female,F,113,Not Applicable,Not Applicable
,Black or African American,2054-5,"Unspecified diabetes mellitus, without complications",E14.9,75-84 years,75-84,Male,M,60,Not Applicable,Not Applicable
,Black or African American,2054-5,"Unspecified diabetes mellitus, without complications",E14.9,85+ years,85+,Female,F,46,Not Applicable,Not Applicable
,Black or African American,2054-5,"Unspecified diabetes mellitus, without complications",E14.9,85+ years,85+,Male,M,22,Not Applicable,Not Applicable
,Black or African American,2054-5,Unspecified protein-energy malnutrition,E46,75-84 years,75-84,Female,F,15,Not Applicable,Not Applicable
,Black or African American,2054-5,Unspecified protein-energy malnutrition,E46,75-84 years,75-84,Male,M,10,Not Applicable,Not Applicable
,Black or African American,2054-5,Unspecified protein-energy malnutrition,E46,85+ years,85+,Female,F,17,Not Applicable,Not Applicable
,Black or African American,2054-5,Volume depletion,E86,75-84 years,75-84,Female,F,12,Not Applicable,Not Applicable
,Black or African American,2054-5,Volume depletion,E86,85+ years,85+,Female,F,20,Not Applicable,Not Applicable
,Black or African American,2054-5,Unspecified dementia,F03,75-84 years,75-84,Female,F,24,Not Applicable,Not Applicable
,Black or African American,2054-5,Unspecified dementia,F03,75-84 years,75-84,Male,M,19,Not Applicable,Not Applicable
